Time	E,field
4.85243	0
4.87744	0
4.90245	0
4.92747	0
4.95248	0
4.97749	0
5.0025	0
5.02752	0
5.05253	0
5.07754	0
5.10255	0
5.12757	0
5.15258	0
5.17759	0
5.2026	0
5.22762	0
5.25263	0
5.27764	0
5.30266	0
5.32767	0
5.35268	0
5.37769	0
5.4027	0
5.42772	0
5.45273	0
5.47774	0
5.50275	0
5.52777	0
5.55278	0
5.57779	0
5.6028	0
5.62782	0
5.65283	0
5.67784	0
5.70286	0
5.72787	0
5.75288	0
5.77789	0
5.8029	0
5.82792	0
5.85293	0
5.87794	0
5.90296	0
5.92797	0
5.95298	0
5.97799	0
6.00301	0
6.02802	0
6.05303	0
6.07804	0
6.10305	0
6.12807	0
6.15308	0
6.17809	0
6.2031	0
6.22812	0
6.25313	0
6.27814	0
6.30315	0
6.32817	0
6.35318	0
6.37819	0
6.40321	0
6.42822	0
6.45323	0
6.47824	0
6.50325	0
6.52827	0
6.55328	0
6.57829	0
6.6033	0
6.62832	0
6.65333	0
6.67834	0
6.70335	0
6.72837	0
6.75338	0
6.77839	0
6.80341	0
6.82842	0
6.85343	0
6.87844	0
6.90345	0
6.92847	0
6.95348	0
6.97849	0
7.0035	0
7.02852	0
7.05353	0
7.07854	0
7.10355	0
7.12857	0
7.15358	0
7.17859	0
7.2036	0
7.22862	0
7.25363	0
7.27864	0
7.30366	0
7.32867	0
7.35368	0
7.37869	0
7.40371	0
7.42872	0
7.45373	0
7.47874	0
7.50376	0
7.52877	0
7.55378	0
7.57879	0
7.60381	0
7.62882	0
7.65383	0
7.67884	0
7.70386	0
7.72887	0
7.75388	0
7.77889	0
7.80391	0
7.82892	0
7.85393	0
7.87894	0
7.90396	0
7.92897	0
7.95398	0
7.97899	0
8.004	0
8.02902	0
8.05403	0
8.07904	0
8.10406	0
8.12907	0
8.15408	0
8.17909	0
8.20411	0
8.22912	0
8.25413	0
8.27914	0
8.30416	0
8.32917	0
8.35418	0
8.37919	0
8.40421	0
8.42922	0
8.45423	0
8.47924	0
8.50425	0
8.52927	0
8.55428	0
8.57929	0
8.60431	0
8.62932	0
8.65433	0
8.67934	0
8.70436	0
8.72937	0
8.75438	0
8.77939	0
8.80441	0
8.82942	0
8.85443	0
8.87944	0
8.90446	0
8.92947	0
8.95448	0
8.97949	0
9.00451	0
9.02952	0
9.05453	0
9.07954	0
9.10456	0
9.12957	0
9.15458	0
9.17959	0
9.2046	0
9.22962	0
9.25463	0
9.27964	0
9.30466	0
9.32967	0
9.35468	0
9.37969	0
9.40471	0
9.42972	0
9.45473	0
9.47974	0
9.50476	0
9.52977	0
9.55478	0
9.57979	0
9.6048	0
9.62982	0
9.65483	0
9.67984	0
9.70486	0
9.72987	0
9.75488	0
9.77989	0
9.80491	0
9.82992	0
9.85493	0
9.87994	0
9.90495	0
9.92997	0
9.95498	0
9.97999	0
10.00501	0
10.03002	0
10.05503	0
10.08004	0
10.10506	0
10.13007	0
10.15508	0
10.18009	0
10.20511	0
10.23012	0
10.25513	0
10.28014	0
10.30515	0
10.33017	0
10.35518	0
10.38019	0
10.40521	0
10.43022	0
10.45523	0
10.48024	0
10.50526	0
10.53027	0
10.55528	0
10.58029	0
10.60531	0
10.63032	0
10.65533	0
10.68034	0
10.70536	0
10.73037	0
10.75538	0
10.78039	0
10.80541	0
10.83042	0
10.85543	0
10.88044	0
10.90546	0
10.93047	0
10.95548	0
10.98049	0
11.00551	0
11.03052	0
11.05553	0
11.08054	0
11.10556	0
11.13057	0
11.15558	0
11.18059	0
11.20561	0
11.23062	0
11.25563	0
11.28064	0
11.30566	0
11.33067	0
11.35568	0
11.38069	0
11.40571	0
11.43072	0
11.43072	0
